seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	18081704	18081908	205	*	X008	81569	18081808	18153558	71751	+	0	overlapStart	0	ACTL8
chr1	38020139	38020140	2	*	X018	79753	38000050	38019945	19896	-	193	upstream	193	SNIP1
chr1	46859840	46860037	198	*	X021	2166	46859939	46879520	19582	+	0	overlapStart	0	FAAH
chr1	229406629	229406666	38	*	X033	5867	229406809	229441640	34832	+	142	upstream	142	RAB4A
chr2	263693	263786	94	*	X044	52	264869	278282	13414	+	1082	upstream	1082	ACP1
chr2	263802	263841	40	*	X045	52	264869	278282	13414	+	1027	upstream	1027	ACP1
chr2	263946	264226	281	*	X046	52	264869	278282	13414	+	642	upstream	642	ACP1
chr2	86667679	86667726	48	*	X054	55818	86668271	86719839	51569	+	544	upstream	544	KDM3A
chr2	114737068	114737513	446	*	X071	100499194	114735246	114737561	2316	-	0	inside	47	LOC100499194
chr2	114737068	114737513	446	*	X071	440900	114737146	114764887	27742	+	0	overlapStart	0	LINC01191
chr2	170440600	170440674	75	*	X075	9360	170440850	170494254	53405	+	175	upstream	175	PPIG
chr3	39850772	39850965	194	*	X085	25924	39851303	40301811	450509	+	337	upstream	337	MYRIP
chr3	44771019	44771231	213	*	X088	115560	44771098	44778575	7478	+	0	overlapStart	0	ZNF501
chr3	56717509	56717705	197	*	X090	23272	56654160	56717135	62976	-	373	upstream	373	TASOR
chr3	160167827	160168046	220	*	X096	286827	160153291	160167626	14336	-	200	upstream	200	TRIM59
chr3	160167827	160168046	220	*	X096	57560	159945241	160167626	222386	-	200	upstream	200	IFT80
chr3	160168062	160168097	36	*	X097	286827	160153291	160167626	14336	-	435	upstream	435	TRIM59
chr3	160168062	160168097	36	*	X097	57560	159945241	160167626	222386	-	435	upstream	435	IFT80
chr3	170626726	170626929	204	*	X098	56648	170606204	170626426	20223	-	299	upstream	299	EIF5A2
chr3	180319550	180319574	25	*	X100	151613	180319918	180335616	15699	+	343	upstream	343	TTC14
chr4	331102	331199	98	*	X103	7700	331596	377760	46165	+	396	upstream	396	ZNF141
chr5	114881016	114881025	10	*	X143	56929	114856608	114880591	23984	-	424	upstream	424	FEM1C
chr5	114881040	114881061	22	*	X144	56929	114856608	114880591	23984	-	448	upstream	448	FEM1C
chr5	137688070	137688165	96	*	X146	51780	137688285	137772716	84432	+	119	upstream	119	KDM3B
chr5	140777381	140777384	4	*	X148	56101	140777695	140892548	114854	+	310	upstream	310	PCDHGB5
chr5	149829836	149829846	11	*	X149	6208	149823792	149829319	5528	-	516	upstream	516	RPS14
chr5	150284294	150284434	141	*	X150	91975	150273954	150284545	10592	-	0	inside	110	ZNF300
chr5	150284863	150284886	24	*	X151	91975	150273954	150284545	10592	-	317	upstream	317	ZNF300
chr5	179499343	179499515	173	*	X157	55819	179382474	179499109	116636	-	233	upstream	233	RNF130
chr6	26225428	26225630	203	*	X159	8353	26225383	26225844	462	+	0	inside	44	H3C6
chr7	5111454	5111785	332	*	X170	389458	5111691	5112854	1164	+	0	overlapStart	0	RBAKDN
chr7	56516104	56516160	57	*	X176	650226	56491397	56516068	24672	-	35	upstream	35	LOC650226
chr7	56516214	56516308	95	*	X177	650226	56491397	56516068	24672	-	145	upstream	145	LOC650226
chr7	89748642	89748666	25	*	X187	442523	89748714	89754914	6201	+	47	upstream	47	DPY19L2P4
chr7	100025749	100025792	44	*	X190	56257	100026413	100031749	5337	+	620	upstream	620	MEPCE
chr7	130132207	130132229	23	*	X194	317751	130126898	130131013	4116	-	1193	upstream	1193	MESTIT1
chr7	130132247	130132369	123	*	X195	317751	130126898	130131013	4116	-	1233	upstream	1233	MESTIT1
chr7	139024674	139024732	59	*	X198	100996928	139025878	139108203	82326	+	1145	upstream	1145	FMC1-LUC7L2
chr7	139024674	139024732	59	*	X198	154791	139025878	139031065	5188	+	1145	upstream	1145	FMC1
chr7	139024674	139024732	59	*	X198	51631	139025105	139108203	83099	+	372	upstream	372	LUC7L2
chr7	139024832	139024872	41	*	X199	100996928	139025878	139108203	82326	+	1005	upstream	1005	FMC1-LUC7L2
